Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 14;14437;NA;bulk sample ;weigh bag 2;fragmental rock;2.65
Apollo 14;14438;NA;bulk sample ;weigh bag 2;friable polymict breccia;3.35
Apollo 14;14439;NA;bulk sample ;weigh bag 2;friable fragmental rock;1
Apollo 14;14440;NA;bulk sample ;weigh bag 2;holocrystalline rock;1.5
Apollo 14;14441;NA;bulk sample ;weigh bag 2;fragmental rock;1.23
Apollo 14;14442;NA;bulk sample ;weigh bag 2;friable fragment ;3.51
Apollo 14;14443;NA;bulk sample ;weigh bag 2;holocrystalline rock;2.5
Apollo 14;14444;NA;bulk sample ;weigh bag 2;holocrystalline rock;1.6
Apollo 14;14445;NA;bulk sample ;weigh bag 2;polymict breccia;9.22
Apollo 14;14446;NA;bulk sample ;weigh bag 2;chips of plagioclase-rich rock;0.82
Apollo 14;14447;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;0.91
Apollo 14;14448;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;1.06
Apollo 14;14449;NA;bulk sample ;weigh bag 2;chip of clastic rock;1.7
Apollo 14;14450;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;1.27
Apollo 14;14451;NA;bulk sample ;weigh bag 2;holocrystalline rock;2.1
Apollo 14;14452;NA;bulk sample ;weigh bag 2;clastic rock;1.77
Apollo 14;14453;NA;bulk sample ;weigh bag 2;breccia chip;6.03
Apollo 15;15001;27;NA;drill stem bottom;NA;232.8
Apollo 15;15002;10;NA;drill stem section ;NA;210.1
Apollo 15;15003;20;NA;drill stem section ;NA;223
Apollo 15;15004;11;SRC 2;drill stem section ;NA;210.6
Apollo 15;15005;23;SRC 2;drill stem section ;NA;239.1 
Apollo 15;15006;22;SRC 2;drill stem top;NA;227.9
Apollo 15;15007;2010;SRC 1;drive tube bottom ;NA;768.2
Apollo 15;15008;2003;SRC 1;drive tube top ;NA;510.2
Apollo 15;15009;2007;SRC 2;drive tube ;NA;622
Apollo 15;15010;2014;SRC 2;drive tube bottom ;NA;740.4
Apollo 15;15011;2009;SRC 2;drive tube top ;NA;653.6
Apollo 15;15012;NA;SRC 2;SESC 1;NA;312.2
Apollo 15;15013;NA;SRC 2;SESC  ;NA;296.2
Apollo 15;15014;NA;SRC 2;SESC 2;NA;333.2
Apollo 15;15015;NA;SRC 2;SCB 4;glass coated breccia;4770.2
Apollo 15;15016;NA;SRC 2;SCB 4;porphyritic coated basalt;923.7
Apollo 15;15017;NA;SRC 2;DB 162;glass shell;9.8
Apollo 15;15018;NA;SRC 2;DB 162;glass object;5.7
Apollo 15;15019;NA;SRC 2;DB 162;glassy microbreccia;1.2
Apollo 15;15020;NA;contingency sample bag ;SCB 4;unsieved fines ;88.7
Apollo 15;15021;NA;contingency sample bag ;SCB 4;<1mm fines;500.2
Apollo 15;15022;NA;contingency sample bag ;SCB 4;1-2mm fines;10
Apollo 15;15023;NA;contingency sample bag ;SCB 4;2-4mm fines;5
Apollo 15;15024;NA;contingency sample bag ;SCB 4;4-10mm fines;3.6
Apollo 15;15025;NA;contingency sample bag ;SCB 4;coherent breccia;77.3
Apollo 15;15026;NA;contingency sample bag ;SCB 4;glass coated microbreccia;1.1
Apollo 15;15027;NA;SRC 2;DB 162;breccia;51
Apollo 15;15028;NA;SRC 2;DB 162;glassy breccia;59.4
Apollo 15;15030;NA;SRC 2;DB 252;unsieved fines ;75.3
Apollo 15;15031;NA;SRC 2;DB 252;<1mm fines;207.8
Apollo 15;15032;NA;SRC 2;DB 252;1-2mm fines ;7
Apollo 15;15033;NA;SRC 2;DB 252;2-4mm fines;6.6
Apollo 15;15034;NA;SRC 2;DB 252;4-10mm fines;7
Apollo 15;15040;NA;SRC 2;DB 253;unsieved fines ;113.4
Apollo 15;15041;NA;SRC 2;DB 253;<1mm fines;269.6
Apollo 15;15042;NA;SRC 2;DB 253;1-2mm fines;5.1
Apollo 15;15043;NA;SRC 2;DB 253;2-4mm fines;2.8
Apollo 15;15044;NA;SRC 2;DB 253;4-10mm fines;1.5
Apollo 15;15058;NA;SRC 2;SCB 6;porphyritic basalt;2672.5
Apollo 15;15059;NA;SRC 2;SCB 6;glass coated breccia;1149.2
Apollo 15;15065;NA;SRC 1;DB 156;gabbro;1475.5
Apollo 15;15070;NA;SRC 1;DB 157;unsieved fines ;51.3
Apollo 15;15071;NA;SRC 1;DB 157;<1mm fines;100.7
Apollo 15;15072;NA;SRC 1;DB 157;1-2mm fines;3
Apollo 15;15073;NA;SRC 1;DB 157;2-4mm fines;1.4
Apollo 15;15074;NA;SRC 1;DB 157;4-10mm fines;1.3
Apollo 15;15075;NA;SRC 1;DB 157;gabbro;809.3
Apollo 15;15076;NA;SRC 1;DB 157;gabbro;400.5
Apollo 15;15080;NA;SRC 1;DB 158;unsieved fines ;73.5
Apollo 15;15081;NA;SRC 1;DB 158;<1mm fines;106.9
Apollo 15;15082;NA;SRC 1;DB 158;1-2mm fines;2
Apollo 15;15083;NA;SRC 1;DB 158;2-4mm fines;1.8
Apollo 15;15084;NA;SRC 1;DB 158;4-10mm fines;1.1
Apollo 15;15085;NA;SRC 1;DB 158;basalt ;471.3
Apollo 15;15086;NA;SRC 1;DB 158;breccia;216.5
Apollo 15;15087;NA;SRC 1;DB 158;gabbro;5.7
Apollo 15;15088;NA;SRC 1;DB 158;breccia;1.8
Apollo 15;15090;NA;SRC 1;DB 159;unsieved fines ;39.3
Apollo 15;15091;NA;SRC 1;DB 159;<1mm fines;162.9
Apollo 15;15092;NA;SRC 1;DB 159;1-2mm fines;2.7
Apollo 15;15093;NA;SRC 1;DB 159;2-4mm fines;0.6
Apollo 15;15095;NA;SRC 1;DB 159;glass coated microbreccia;25.5
Apollo 15;15100;NA;SRC 1;DB 187;unsieved fines ;281
Apollo 15;15101;NA;SRC 1;DB 187;<1mm fines;637.6
Apollo 15;15102;NA;SRC 1;DB 187;1-2mm fines;12.2
Apollo 15;15103;NA;SRC 1;DB 187;2-4mm fines;4.1
Apollo 15;15104;NA;SRC 1;DB 187;4-10mm fines;1.5
Apollo 15;15105;NA;SRC 1;DB 187;basalt ;5.6
Apollo 15;15115;NA;SRC 1;DB 186;porphyritic basalt ;4
