sample ID;serial number ;return container;Container;sample type;weight (g)
70161;NA;SCB1;DB474;<1mm fines;197.7
70162;NA;SCB1;DB474;1-2mm fines;5.14
70163;NA;SCB1;DB474;2-4mm fines;3.43
70164;NA;SCB1;DB474;4-10mm fines;1.66
70165;NA;SCB1;DB474;coarse basalt;2.143
70170;NA;SCB5;DB55Y;DB residue ;42.31
70175;NA;SCB5;DB55Y;dark matrix breccia;339.6
70180;NA;SCB1;DB475;unsieved fines ;93.25
70181;NA;SCB1;DB475;<1mm fines;157.1
70182;NA;SCB1;DB475;1-2mm fines;4.63
70183;NA;SCB1;DB475;2-4mm fines;3.12
70184;NA;SCB1;DB475;4-10mm fines;1.68
70185;NA;SCB1;DB475;coarse basalt;466.6
70215;NA;BSLSS;NA;fine basalt;8110
70250;NA;SCB8;DB22E;DB residue ;62.04
70255;NA;SCB8;DB22E;fine basalt;277.2
70270;NA;SCB8;DB23E;unsieved fines ;70.46
70271;NA;SCB8;DB23E;<1mm fines;116.1
70272;NA;SCB8;DB23E;1-2mm fines;2.97
70273;NA;SCB8;DB23E;2-4mm fines;1.46
70274;NA;SCB8;DB23E;4-10mm fines;2.33
70275;NA;SCB8;DB23E;medium basalt;171.4
70290;NA;SCB7;DB45Y;DB residue ;56.36
70295;NA;SCB7;DB45Y;dark matrix breccia;361.2
70310;NA;SCB5;DB54Y;DB residue ;6.82
70311;NA;SCB5;DB54Y;<1mm fines;106.5
70312;NA;SCB5;DB54Y;1-2mm fines;4.2
70313;NA;SCB5;DB54Y;2-4mm fines;3.21
70314;NA;SCB5;DB54Y;4-10mm fines;5.25
70315;NA;SCB5;DB54Y;coarse basalt;148.6
70320;NA;SCB5;DB53Y;unsieved fines ;78.24
70321;NA;SCB5;DB53Y;<1mm fines;141.6
70322;NA;SCB5;DB53Y;1-2mm fines;5.42
70323;NA;SCB5;DB53Y;2-4mm fines;4.1
70324;NA;SCB5;DB53Y;4-10mm fines;4
71010;NA;SRC1;NA;residues in SRC1 and SCB1;32.84
71030;NA;SCB1;DB476;DB residue ;36.28
71035;NA;SCB1;DB476;medium basalt;144.8
71036;NA;SCB1;DB476;medium basalt;118.4
71037;NA;SCB1;DB476;medium basalt;14.39
71040;NA;SCB1;DB455;unsieved fines ;94.89
71041;NA;SCB1;DB455;<1mm fines;137.8
71042;NA;SCB1;DB455;1-2mm fines;7.21
